City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,college,64.8569,-147.8028,14.99,40,20,7.72,US,1714269157
84,saint-pierre,-21.3393,55.4781,24.82,83,83,1.03,RE,1714269157
85,nar'yan-mar,67.6713,53.087,-6.61,93,73,4.47,RU,1714269157
86,ravar,31.2656,56.8055,14.91,38,0,2.64,IR,1714269157
87,newman,37.3138,-121.0208,24.13,47,91,4.02,US,1714268969
88,greymouth,-42.4667,171.2,15.79,61,53,1.63,NZ,1714269157
89,atafu village,-8.5421,-172.5159,29.69,74,95,5.52,TK,1714269157
90,orange cove,36.6244,-119.3137,22.81,46,20,2.06,US,1714269157
91,ushuaia,-54.8,-68.3,2.81,87,75,7.72,AR,1714269157
92,ponta delgada,37.7333,-25.6667,14.4,72,75,2.57,PT,1714269157
93,udachny,66.4167,112.4,-10.86,92,99,3.06,RU,1714269157
94,talnakh,69.4865,88.3972,-7.11,93,100,4.46,RU,1714269150
95,blackmans bay,-43.0167,147.3167,17.07,57,98,0.45,AU,1714269157
96,st. john's,47.5649,-52.7093,1.1,81,75,7.2,CA,1714269063
97,umm kaddadah,13.6017,26.6876,28.13,42,53,4.25,SD,1714269157
98,kristiansund,63.1115,7.732,4.36,81,39,2.06,NO,1714269157
99,westport,41.1415,-73.3579,11.37,62,100,4.02,US,1714268979
100,bentiu,9.2333,29.8333,31.05,40,87,2.69,SS,1714269158
101,chinde,26.8418,88.0763,24.33,34,0,1.99,NP,1714269158
102,tolanaro,-25.0319,46.9987,22.04,88,40,2.06,MG,1714269158
103,arteche,12.2645,125.4048,30.42,62,100,4.53,PH,1714269158
104,iskateley,67.6803,53.1512,-6.66,93,72,4.47,RU,1714268983
105,xilin hot,43.9667,116.0333,3.05,77,100,5.56,CN,1714269158
106,puerto ayora,-0.7393,-90.3518,25.31,95,6,0.89,EC,1714269158
107,lihue,21.9789,-159.3672,25.77,76,0,6.17,US,1714269158
108,polyarnyy,69.1989,33.4478,-2.54,87,100,2.47,RU,1714269158
109,rumoi,43.9344,141.6428,10.48,75,98,4.8,JP,1714269158
110,porto novo,6.4965,2.6036,29.9,86,38,2.7,BJ,1714269158
111,tomatlan,19.9333,-105.25,22.26,71,16,2.23,MX,1714269158
112,eyl,7.9803,49.8164,28.21,73,40,2.89,SO,1714269158
113,bredasdorp,-34.5322,20.0403,16.29,84,95,2.2,ZA,1714269158
114,ancud,-41.8697,-73.8203,10.98,86,100,7.06,CL,1714269158
115,lagos,6.5833,3.75,28.18,88,100,2.04,NG,1714269000
116,anadyr,64.75,177.4833,-2.72,86,100,4.0,RU,1714269158
117,ta`u,-14.2336,-169.5144,28.91,76,16,7.71,AS,1714269159
118,palmer,42.1584,-72.3287,11.65,51,100,5.66,US,1714268949
119,puerto baquerizo moreno,-0.9,-89.6,25.55,89,20,3.6,EC,1714269134
120,kruisfontein,-34.0033,24.7314,14.94,74,100,2.71,ZA,1714269159
121,pavlovsk,50.4578,40.1081,16.63,83,96,4.02,RU,1714269159
122,nantucket,41.2835,-70.0995,9.44,66,0,6.17,US,1714269101
123,princeville,45.7668,-61.2985,1.29,73,0,1.54,CA,1714269159
124,betio village,1.358,172.9211,32.02,77,71,6.4,KI,1714269159
125,holualoa,19.6228,-155.9522,25.91,90,40,5.66,US,1714268922
126,ferkessedougou,9.6,-5.2,26.91,74,100,2.11,CI,1714269159
127,neiafu,-18.65,-173.9833,29.38,79,40,4.63,TO,1714269159
128,la ronge,55.1001,-105.2842,6.14,31,75,3.09,CA,1714269026
129,armacao de buzios,-22.7469,-41.8817,25.03,85,0,8.5,BR,1714268991
130,ribeira grande,38.5167,-28.7,15.43,70,28,3.13,PT,1714269159
131,pendra,22.7667,81.95,30.43,33,8,2.6,IN,1714269159
132,kudymkar,59.0173,54.656,13.17,86,92,6.29,RU,1714269159
133,noumea,-22.2763,166.4572,27.78,99,90,6.94,NC,1714269159
134,quellon,-43.1167,-73.6167,9.66,88,100,4.19,CL,1714269160
135,cam ranh,11.9214,109.1591,32.98,55,0,6.17,VN,1714269160
136,szamotuly,52.612,16.5779,11.38,91,6,3.52,PL,1714269160
137,imbituba,-28.24,-48.6703,25.48,77,22,1.62,BR,1714268860
138,khovd,48.0056,91.6419,1.7,46,0,1.54,MN,1714269160
139,bilibino,68.0546,166.4372,-0.14,79,68,1.15,RU,1714269160
140,necochea,-38.5473,-58.7368,7.46,48,0,4.91,AR,1714269048
141,aplahoue,6.9333,1.6833,25.92,91,65,1.84,BJ,1714269160
142,lahaina,20.8783,-156.6825,26.11,95,100,3.63,US,1714269160
143,kailua-kona,19.6406,-155.9956,27.98,81,40,5.66,US,1714269160
144,boca suno,-0.7167,-77.1333,23.42,93,98,0.69,EC,1714269160
145,mount pearl,47.5166,-52.7813,0.64,81,75,7.2,CA,1714269160
146,kakunodatemachi,39.5833,140.5667,20.22,44,0,3.53,JP,1714269160
147,northam,51.0333,-4.2167,8.12,85,100,4.99,GB,1714269160
148,bethel,41.3712,-73.414,11.05,63,100,4.63,US,1714269160
149,castillos,-34.1667,-53.8333,9.65,77,15,2.32,UY,1714269160
150,north battleford,52.7834,-108.2847,12.05,35,40,6.17,CA,1714269160
151,sungailiat,-1.85,106.1333,27.2,87,100,3.25,ID,1714269160
152,hanceville,34.0607,-86.7675,21.95,76,73,3.23,US,1714269161
153,ilulissat,69.2167,-51.1,1.01,93,100,2.06,GL,1714269161
154,mokshan,53.4365,44.6132,14.23,93,100,2.68,RU,1714269161
155,zemio,5.0314,25.1361,21.95,96,100,2.09,CF,1714269161
156,inhambane,-23.865,35.3833,21.95,69,100,6.44,MZ,1714269161
157,khandyga,62.6667,135.6,-3.1,83,100,1.84,RU,1714269161
158,stephenville,32.2207,-98.2023,25.14,81,100,7.2,US,1714269161
159,tabou,4.423,-7.3528,27.31,88,100,1.86,CI,1714269161
160,balqash,46.8481,74.995,9.38,33,48,9.7,KZ,1714269161
161,puerto escondido,15.85,-97.0667,27.51,80,1,2.71,MX,1714269161
162,mount isa,-20.7333,139.5,29.87,37,1,6.17,AU,1714269161
163,grand gaube,-20.0064,57.6608,24.1,90,100,0.89,MU,1714269161
164,arkhangel'sk,64.5401,40.5433,2.85,100,100,1.0,RU,1714269115
165,constantia,44.1833,28.65,12.61,73,100,4.79,RO,1714268988
166,luena,-11.7833,19.9167,16.1,72,6,1.54,AO,1714269161
167,nabire,-3.3667,135.4833,30.73,68,76,2.12,ID,1714269161
168,mongo,12.1844,18.693,28.91,13,99,3.58,TD,1714269161
